2025/05/10 12:30:57 [error] 15392#14376: *8450 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8451 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8452 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8453 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8454 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8455 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8456 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8457 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8458 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8459 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8460 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8461 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
